City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
voh,0,NC,1535667998,100,-20.95,164.69,68.69,14.76
mount gambier,64,AU,1535667998,95,-37.83,140.78,51.41,6.49
muscat,88,OM,1535665800,58,23.6,58.55,84.2,3.36
namatanai,88,PG,1535667706,100,-3.66,152.44,76.88,6.15
saint-joseph,75,FR,1535666400,77,43.56,6.97,75.2,2.24
bjorkelangen,0,NO,1535667999,84,59.88,11.57,52.49,6.82
kitsuki,20,JP,1535664600,88,33.42,131.62,80.6,10.29
yakeshi,0,CN,1535668000,85,49.28,120.73,45.74,2.8
chunian,12,PK,1535668000,81,30.96,73.98,80.75,2.35
cap malheureux,40,MU,1535662800,68,-19.98,57.61,69.8,13.87
san diego de los banos,44,CU,1535668001,91,22.65,-83.37,80.84,5.14
saldanha,0,PT,1535668001,74,41.42,-6.55,64.19,2.68
beloha,0,MG,1535668002,80,-25.17,45.06,63.29,14.09
bah,80,IN,1535668002,96,26.87,78.59,75.08,6.04
nacala,56,MZ,1535668002,89,-14.56,40.69,76.97,12.08
salto de pirapora,0,BR,1535668002,44,-23.65,-47.57,76.07,3.58
miles city,1,US,1535665980,15,46.41,-105.84,91.04,16.11
evensk,24,RU,1535668003,100,61.92,159.24,51.14,3.91
ilebo,8,CD,1535668003,89,-4.33,20.59,74.54,2.13
husavik,20,CA,1535668004,53,50.56,-96.99,79.22,24.05
chakwal,0,PK,1535668004,79,32.93,72.86,80.57,7.61
bhim tal,64,IN,1535668004,97,29.35,79.57,66.8,1.79
muisne,12,EC,1535668005,61,0.61,-80.02,83.54,10.74
finnsnes,92,NO,1535665800,81,69.23,17.98,50.0,18.34
amot,0,NO,1535668005,85,59.57,7.99,40.52,2.01
andira,0,BR,1535668006,97,-0.74,-47.84,81.74,10.63
turukhansk,76,RU,1535668006,75,65.8,87.96,43.04,18.57
palermo,75,CO,1535666400,33,2.89,-75.43,91.4,12.75
saint-louis,75,CH,1535667600,82,47.59,7.56,60.8,6.93
beringovskiy,68,RU,1535667768,97,63.05,179.32,51.23,16.55
bereda,0,ES,1535666400,88,43.27,-7.54,62.6,2.24
ledyard,1,US,1535667300,53,41.44,-72.02,89.06,12.75
portland,90,US,1535666160,53,45.52,-122.67,73.04,6.93
sarankhola,80,BD,1535668008,97,22.31,89.79,80.12,6.6
cortez,1,US,1535665980,15,37.35,-108.58,86.0,11.41
souillac,0,FR,1535666400,72,45.6,-0.6,66.2,5.82
richards bay,0,ZA,1535668009,75,-28.77,32.06,63.92,8.72
buala,88,SB,1535668010,90,-8.15,159.59,81.47,8.5
buraydah,0,SA,1535662800,26,26.33,43.97,93.2,6.93
bilibino,12,RU,1535668010,85,68.06,166.44,44.39,3.13
mabaruma,12,GY,1535668010,80,8.2,-59.78,83.99,6.04
paro,92,BT,1535668011,100,27.43,89.41,44.57,1.01
ewo,20,CG,1535668011,86,-0.88,14.81,73.28,1.9
bergama,0,TR,1535662200,69,39.12,27.18,77.0,16.11
paita,0,PE,1535666400,290,-5.09,-81.11,62.6,18.34
xinyu,92,CN,1535668012,96,27.8,114.93,75.62,6.15
romny,0,UA,1535668012,66,50.74,33.49,65.36,8.72
tavistock,90,CA,1535662800,68,43.32,-80.84,68.0,8.05
atbasar,76,KZ,1535668013,93,51.81,68.36,57.89,9.17
champerico,90,MX,1535666340,55,16.38,-93.6,86.0,4.7
la ronge,90,CA,1535662800,93,55.1,-105.3,57.2,11.41
bassano,0,CA,1535668014,38,50.79,-112.47,70.76,7.72
coihaique,0,CL,1535666400,52,-45.58,-72.07,44.6,4.7
deputatskiy,0,RU,1535668014,83,69.3,139.9,49.61,7.38
shelburne,90,CA,1535662800,68,44.08,-80.2,66.2,5.82
peleduy,92,RU,1535668015,87,59.63,112.75,55.19,4.03
saint george,0,GR,1535665800,73,39.45,22.34,69.8,5.82
kupang,20,ID,1535666400,94,-10.16,123.6,68.0,4.7
eydhafushi,64,MV,1535668016,100,5.1,73.07,81.56,12.97
avera,1,US,1535666100,41,33.19,-82.53,95.0,3.36
henties bay,0,NA,1535668017,100,-22.12,14.28,54.47,1.34
katihar,92,IN,1535668017,97,25.54,87.57,76.97,6.93
klaksvik,88,FO,1535665800,93,62.23,-6.59,48.2,5.82
policoro,5,IT,1535666100,94,40.21,16.68,73.4,3.36
bastia,40,IT,1535665800,69,44.6,8.98,78.8,10.29
adre,20,TD,1535668018,69,13.47,22.2,73.73,3.91
kathu,44,ZA,1535668019,27,-27.7,23.05,55.37,9.17
borogontsy,36,RU,1535668019,95,62.67,131.17,53.57,6.04
kurchum,0,KZ,1535668019,100,48.57,83.65,50.6,4.03
rosario,92,UY,1535668020,83,-34.31,-57.35,51.32,23.49
lamu,100,ID,1535668020,100,0.57,122.3,73.82,0.89
battle creek,75,US,1535667360,46,42.32,-85.18,75.02,4.47
gweta,0,BW,1535667727,27,-20.21,25.26,60.32,11.52
menongue,0,AO,1535668021,30,-14.66,17.68,66.08,5.37
kawalu,80,ID,1535668021,100,-7.38,108.21,63.47,1.79
anadyr,0,RU,1535664600,81,64.73,177.51,50.0,8.95
leopold,90,US,1535666160,61,38.1,-86.58,87.08,6.93
constitucion,75,MX,1535665680,38,23.99,-104.67,75.2,8.05
vestmanna,80,FO,1535665800,93,62.16,-7.17,48.2,5.82
chunhuhub,32,MX,1535668023,80,19.59,-88.59,83.27,4.14
fenoarivo,75,MG,1535664600,93,-18.93,47.44,53.6,9.17
paka,0,HR,1535666400,73,45.29,18.06,69.8,6.93
nzerekore,100,GN,1535668024,94,7.76,-8.82,72.65,5.03
baltiysk,0,RU,1535664600,87,54.66,19.91,59.0,6.71
baixa grande,92,BR,1535668025,91,-11.96,-40.17,67.07,7.05
meulaboh,88,ID,1535668025,100,4.14,96.13,76.7,4.92
poum,32,MK,1535668025,93,41.28,20.71,60.5,2.13
dubuque,1,US,1535666160,64,42.5,-90.66,77.0,12.75
iquitos,0,PE,1535666400,70,-3.75,-73.25,84.2,6.93
hamilton,75,BM,1535666100,69,32.3,-64.78,82.4,5.82
anloga,40,GH,1535666400,83,5.79,0.9,78.8,14.99
vredendal,8,ZA,1535668027,92,-31.68,18.49,45.65,2.46
polonnaruwa,56,LK,1535668027,77,7.94,81.0,76.97,11.97
soyo,0,AO,1535668028,87,-6.13,12.37,70.58,4.92
jennings,0,AU,1535668028,73,-28.93,151.93,41.87,7.49
tuy hoa,0,VN,1535668028,82,13.08,109.3,82.64,13.76
torremolinos,75,ES,1535666400,88,36.62,-4.5,77.0,4.7
fare,12,PF,1535668029,100,-16.7,-151.02,77.96,26.51
macas,36,EC,1535668029,69,-2.3,-78.12,77.24,3.69
hassleholm,92,SE,1535665800,100,56.16,13.77,59.0,6.93
san francisco,75,US,1535666160,65,37.78,-122.42,77.0,13.87
te anau,56,NZ,1535668031,94,-45.41,167.72,40.16,2.35
pustoshka,20,RU,1535668031,90,56.34,29.37,55.82,2.91
garden city,1,US,1535667300,47,40.73,-73.63,89.06,10.29
dawson creek,75,CA,1535665320,81,55.76,-120.23,51.8,11.41
luanda,20,AO,1535667739,94,-8.83,13.24,68.69,5.37
sept-iles,75,CA,1535662800,45,50.2,-66.38,64.4,11.41
aquin,32,HT,1535668033,96,18.28,-73.39,83.72,12.3
anori,24,BR,1535668033,56,-3.74,-61.66,90.92,4.81
san antonio,76,CL,1535666400,93,-33.58,-71.61,53.6,8.05
xiashi,92,CN,1535668036,98,22.12,106.89,74.0,3.13
piranshahr,0,IR,1535668036,43,36.7,45.14,56.54,1.57
formosa do rio preto,0,BR,1535668036,32,-11.04,-45.19,81.11,8.72
nuevitas,20,CU,1535665800,74,21.55,-77.27,84.2,18.34
luang prabang,92,LA,1535668037,100,19.89,102.14,68.15,1.68
shar,88,NG,1535668037,96,7.3,8.73,72.29,4.25
oriximina,12,BR,1535668037,50,-1.77,-55.87,89.66,4.14
las animas,1,US,1535665980,11,38.07,-103.22,98.06,10.29
banjarmasin,32,ID,1535662800,100,-3.32,114.59,71.6,2.24
kampene,24,CD,1535668038,83,-3.59,26.67,71.39,1.9
arlit,36,NE,1535668039,37,18.74,7.39,87.77,6.15
honiara,20,SB,1535666400,78,-9.43,159.96,82.4,3.24
cabra,0,ES,1535666400,44,37.47,-4.43,80.6,3.36
mlonggo,20,ID,1535668039,100,-6.53,110.7,74.09,5.14
igarka,0,RU,1535668040,74,67.47,86.57,40.07,23.26
chengde,0,CN,1535668041,91,40.97,117.93,51.14,2.46
malartic,40,CA,1535662800,62,48.14,-78.13,59.0,3.36
ulaangom,48,MN,1535668042,82,49.98,92.07,36.2,1.45
yatou,75,CM,1535662800,94,3.63,9.81,77.0,2.24
zhangzhou,90,CN,1535666400,94,24.51,117.65,77.0,8.95
sabha,0,LY,1535668043,25,27.03,14.43,87.23,13.87
tanabe,92,JP,1535668043,92,33.73,135.39,76.7,8.39
samarai,92,PG,1535668043,100,-10.62,150.67,74.09,1.79
homer,1,US,1535665980,64,59.64,-151.54,59.0,21.92
evanston,1,US,1535666100,53,42.04,-87.69,73.04,8.05
lipari,20,IT,1535666100,83,38.47,14.95,77.0,3.36
touros,12,BR,1535668045,71,-5.2,-35.46,78.68,19.24
nikki,24,BJ,1535668045,94,9.94,3.21,71.66,8.16
san felipe,75,CL,1535666400,58,-32.75,-70.73,59.0,12.75
puerto montt,0,CL,1535666400,70,-41.47,-72.94,48.2,8.05
kaili,64,ID,1535668046,91,-3.46,120.21,65.27,1.23
ngaoundere,76,CM,1535668046,95,7.32,13.58,64.46,2.91
baiyin,90,CN,1535662800,100,36.55,104.13,62.6,2.24
broken hill,48,AU,1535668047,96,-31.97,141.45,50.6,12.64
mogapi,0,BW,1535668047,53,-22.32,27.84,52.67,7.83
ust-nera,0,RU,1535668047,87,64.57,143.24,38.63,1.34
